,Rank,Name,in 2021 ranking,in 2020 ranking,Country,Sector,Absolute Growth Rate %,Compound Annual Growth Rate (CAGR) %,Revenue 2020 (€),Revenue 2017 (€),Number of employees 2020,Number of employees 2017,Founding Year
768,769.0,Ogrodosfera.pl,Yes,Yes,Poland,Ecommerce,208.73,45.61,13256472.0,4693330.0,23.0,12,2011.0
769,770.0,SVTI,Yes,No,France,Industrial Goods,208.55,45.58,3981300.0,1290312.0,30.0,17,2010.0
770,771.0,Enhancers,No,No,Italy,Technology,208.24,45.53,3352210.0,1087520.0,38.0,13,2011.0
771,772.0,AGRIPOWER FRANCE,No,No,France,Waste management & recycling,208.2,45.53,7701275.0,2498792.0,16.0,6,2012.0
772,773.0,Next Turbo Technologies,Yes,No,Italy,Industrial Goods,207.77,45.46,9481040.0,3080610.0,18.0,8,2014.0
773,774.0,Velvet Media Italia,Yes,Yes,Italy,Advertising,207.54,45.42,5411160.0,1759490.0,98.0,46,2013.0
774,775.0,Booster Box,Yes,No,Italy,Advertising,206.87,45.32,2049365.0,667837.0,35.0,9,2016.0
775,776.0,RMF Group,No,No,Slovakia,Food & Beverage,206.86,45.32,3289892.0,1072117.0,2.0,3,2014.0
776,777.0,Darwin Group Limited,No,No,UK,Construction,206.37,45.24,70393894.0,23141358.0,140.0,89,2005.0
777,778.0,ITFS,Yes,Yes,Poland,Technology,206.1,45.2,10446862.0,3730405.0,230.0,90,2012.0
778,779.0,SKILLSDAY,No,Yes,France,Education,205.7,45.13,3154795.0,1031988.0,25.0,9,2015.0
779,780.0,Gapps,Yes,No,Finland,Technology,205.51,45.1,8707000.0,2850000.0,34.0,23,2010.0
780,781.0,Maxfel,Yes,No,Italy,Interiors,205.44,45.09,2201160.0,720650.0,15.0,6,1984.0
781,782.0,Herrero Brigantina,Yes,Yes,Spain,Insurance,204.74,44.98,14725853.0,4832212.0,55.0,33,2012.0
782,783.0,Manitech,Yes,No,Italy,Industrial Goods,203.53,44.79,3834910.0,1263420.0,6.0,3,2016.0
783,784.0,Tradeco,No,No,Italy,Industrial Goods,202.87,44.68,5889890.0,1944720.0,16.0,6,2016.0
784,785.0,MON CHASSEUR IMMO,Yes,No,France,Property,202.35,44.6,4794423.0,1585727.0,28.0,13,2012.0
785,786.0,UpSlide,No,Yes,France,Support Services,202.23,44.58,8274214.0,2737704.0,75.0,20,2013.0
786,787.0,COGECLIM ENERGIES,Yes,No,France,Construction,201.99,44.54,2622506.0,868406.0,18.0,5,2015.0
787,788.0,Cellarius,No,No,Hungary,Sales & Marketing,201.67,44.49,2571079.0,989785.0,14.0,10,2004.0
788,789.0,careful-service,No,No,Germany,Health,201.37,44.44,3537769.0,1173908.0,141.0,75,2014.0
789,790.0,Softneta,No,No,Lithuania,Health,201.07,44.4,1778249.0,590642.0,30.0,24,2007.0
790,791.0,Progeny,No,No,UK,Financial Services,200.64,44.33,16601337.0,5561585.0,161.0,64,2016.0
791,792.0,Web Geo Services,No,No,France,Technology,200.58,44.32,24114000.0,8022358.0,57.0,29,2009.0
792,793.0,Spedition Ibov,No,No,Germany,Transport,200.43,44.29,3424863.0,1140000.0,,,2013.0
793,794.0,MyPostcard.com,Yes,Yes,Germany,Retail,200.06,44.23,6358307.0,2119022.0,25.0,21,2014.0
794,795.0,VARIOSAN,No,No,Germany,Retail,199.77,44.19,3233968.0,1078808.0,3.0,2,2013.0
795,796.0,Riedle + Bertsch,No,No,Germany,Technology,199.75,44.18,2331579.0,777849.0,36.0,8,2013.0
796,797.0,Mobili Fiver,No,No,Italy,Interiors,199.43,44.13,11897820.0,3973460.0,50.0,23,1999.0
797,798.0,KLC DESAMIANTAGE,No,No,France,Construction,199.36,44.12,6182419.0,2065220.0,46.0,11,2015.0
798,799.0,SECRET ARTS OF SPIRITS,Yes,Yes,France,Retail,199.23,44.1,3308224.0,1105569.0,6.0,3,2014.0
799,800.0,MPB Group Limited,Yes,No,UK,Ecommerce,198.91,44.05,72503245.0,24429686.0,184.0,68,2011.0
800,801.0,3zehn Auto Discount,Yes,No,Germany,Automobiles,198.41,43.97,25448057.0,8527777.0,12.0,5,2016.0
801,802.0,ADIKTEEV,No,No,France,Technology,198.3,43.95,45616000.0,15292051.0,67.0,50,2012.0
802,803.0,Fundis Reitsport,No,No,Germany,Retail,198.07,43.92,7066208.0,2370645.0,50.0,3,2009.0
803,804.0,Antriebstechnik Ebner-Seibold,No,No,Germany,Retail,198.06,43.91,2245423.0,753352.0,17.0,9,2009.0
804,805.0,Invibes Advertising,No,Yes,Belgium,Technology,197.11,43.76,11530000.0,3880663.0,102.0,30,2011.0
805,806.0,Jointly il welfare condiviso,No,No,Italy,Support Services,196.84,43.72,2400550.0,808700.0,34.0,18,2014.0
806,807.0,ABTOT Mark & Anläggning AB,Yes,No,Sweden,Construction,195.91,43.57,9983094.0,3450305.0,23.0,10,2012.0
807,808.0,DUSAPRO Immobilien,Yes,Yes,Germany,Property,195.21,43.45,33903865.0,11484801.0,36.0,10,2012.0
808,809.0,SOLDATS FILMS,No,No,France,Media,194.81,43.39,2320653.0,787160.0,8.0,4,2012.0
809,810.0,Eagleprojects,No,No,Italy,Telecoms,194.68,43.37,15140480.0,5137900.0,287.0,120,2016.0
810,811.0,Agile Lab,Yes,No,Italy,Technology,194.6,43.35,5590450.0,1897650.0,43.0,15,2013.0
811,812.0,importpris.no,No,No,Norway,Ecommerce,194.37,43.32,3113197.0,1126971.0,8.0,4,2012.0
812,813.0,truu,Yes,Yes,Germany,Industrial Goods,193.76,43.22,12472561.0,4245861.0,72.0,18,2011.0
813,814.0,L’Atelier,No,No,France,Technology,193.45,43.17,4288024.0,1461226.0,15.0,5,2016.0
814,815.0,frigoclim Kälte-Klima,Yes,No,Germany,Construction,193.4,43.16,3890690.0,1326082.0,22.0,7,2014.0
815,816.0,M Coffee Company,No,No,Germany,Retail,192.95,43.09,2117442.0,722795.0,5.0,3,2013.0
816,817.0,PROTEXTYL,No,No,France,Retail,192.85,43.07,5324116.0,1818032.0,22.0,12,2011.0
817,818.0,SP architecte,No,No,France,Construction,192.84,43.07,2825876.0,964998.0,18.0,14,2009.0
818,819.0,Embargos a lo bestia,No,No,Spain,Retail,192.62,43.03,22559217.0,7709375.0,178.0,54,2011.0
819,820.0,Snigel,Yes,No,Ireland,Technology,192.57,43.02,20479764.0,7000063.0,3.0,2,2011.0
820,821.0,IMS Rettungsdienst,No,No,Germany,Health,192.31,42.98,1900000.0,650000.0,120.0,5,2006.0
821,822.0,Way2Global SB,No,No,Italy,Support Services,190.97,42.76,2411600.0,828820.0,16.0,1,2017.0
822,823.0,Media Access Solutions,No,No,UK,Support Services,190.48,42.68,3407930.0,1181642.0,33.0,3,2014.0
823,824.0,Exadi,No,No,Spain,Sales and Marketing,190.28,42.65,42525086.0,14649568.0,44.0,21,2008.0
824,825.0,Fiber-Service-Gesellschaft,No,No,Germany,Telecoms,190.17,42.63,4049655.0,1395607.0,29.0,10,2014.0
825,826.0,TenderHut (Group),Yes,Yes,Poland,Technology,190.02,42.61,10264611.0,3868483.0,280.0,140,2010.0
826,827.0,Worldwide Fishing Company,Yes,No,Spain,Food & Beverage,189.88,42.58,140442673.0,48449141.0,30.0,12,2016.0
827,828.0,Doctor Hail spa,Yes,No,Italy,Automobiles,189.78,42.57,18101114.0,6246592.0,43.0,26,2013.0
828,829.0,KBS Group,Yes,Yes,Germany,Support Services,189.7,42.55,42006000.0,14500000.0,1500.0,650,2011.0
829,830.0,Terre Ehitus,No,No,Estonia,Construction,188.94,42.43,2089215.0,723064.0,12.0,5,2017.0
830,831.0,Bauer Energiekonzepte,Yes,Yes,Germany,Energy,188.54,42.36,36223730.0,12554325.0,19.0,7,2013.0
831,832.0,New Euroart,No,No,Italy,Construction,188.49,42.36,9307640.0,3226280.0,77.0,26,2001.0
832,833.0,Capelli For You,No,No,Italy,Beauty,188.42,42.34,1658750.0,575120.0,16.0,8,2015.0
833,834.0,Ogury,Yes,Yes,UK,Advertising,188.32,42.33,108758853.0,37992902.0,371.0,133,2014.0
834,835.0,TFT Ernst,No,No,Germany,Construction,188.19,42.31,2012427.0,698300.0,17.0,7,2017.0
835,836.0,Somerford Associates,No,No,UK,Technology,187.81,42.24,18757685.0,6564162.0,55.0,31,2001.0
836,837.0,ARCADIA Investment,Yes,Yes,Germany,Property,187.45,42.19,8102218.0,2818652.0,38.0,12,2012.0
837,838.0,FiloBlu,Yes,Yes,Italy,Management Consulting,187.14,42.13,55564420.0,19351090.0,186.0,112,2009.0
838,839.0,Tribus Digital,No,No,UK,Technology,186.89,42.09,1952800.0,685567.0,21.0,8,2016.0
